"symbol","code","name","date"
"sh688458","688458","美芯晟","20250324"   
"sh688459","688459","哈铁科技","20250324" 
"sh688466","688466","金科环境","20250324" 
"sh688468","688468","科美诊断","20250324" 
"sh688469","688469","芯联集成","20250324" 
"sh688472","688472","阿特斯","20250324"   
"sh688475","688475","萤石网络","20250324" 
"sh688478","688478","晶升股份","20250324" 
"sh688479","688479","友车科技","20250324" 
"sh688480","688480","赛恩斯","20250324"   
"sh688484","688484","南芯科技","20250324" 
"sh688485","688485","九州一轨","20250324" 
"sh688486","688486","龙迅股份","20250324" 
"sh688488","688488","艾迪药业","20250324" 
"sh688489","688489","三未信安","20250324" 
"sh688496","688496","清越科技","20250324" 
"sh688498","688498","源杰科技","20250324" 
"sh688499","688499","利元亨","20250324"   
"sh688500","688500","慧辰股份","20250324" 
"sh688501","688501","青达环保","20250324" 
"sh688502","688502","茂莱光学","20250324" 
"sh688503","688503","聚和材料","20250324" 
"sh688505","688505","复旦张江","20250324" 
"sh688506","688506","百利天恒","20250324" 
"sh688507","688507","索辰科技","20250324" 
"sh688508","688508","芯朋微","20250324"   
"sh688509","688509","正元地信","20250324" 
"sh688510","688510","航亚科技","20250324" 
"sh688511","688511","天微电子","20250324" 
"sh688512","688512","慧智微","20250324"   
"sh688513","688513","苑东生物","20250324" 
"sh688515","688515","裕太微","20250324"   
"sh688516","688516","奥特维","20250324"   
"sh688517","688517","金冠电气","20250324" 
"sh688518","688518","联赢激光","20250324" 
"sh688519","688519","南亚新材","20250324" 
"sh688520","688520","神州细胞","20250324" 
"sh688521","688521","芯原股份","20250324" 
"sh688522","688522","纳睿雷达","20250324" 
"sh688523","688523","航天环宇","20250324" 
"sh688525","688525","佰维存储","20250324" 
"sh688526","688526","科前生物","20250324" 
"sh688528","688528","秦川物联","20250324" 
"sh688529","688529","豪森智能","20250324" 
"sh688530","688530","欧莱新材","20250324" 
"sh688531","688531","日联科技","20250324" 
"sh688533","688533","上声电子","20250324" 
"sh688535","688535","华海诚科","20250324" 
"sh688536","688536","思瑞浦","20250324"   
"sh688538","688538","和辉光电","20250324" 
"sh688539","688539","高华科技","20250324" 
"sh688543","688543","国科军工","20250324" 
"sh688545","688545","兴福电子","20250324" 
"sh688548","688548","广钢气体","20250324" 
"sh688549","688549","中巨芯","20250324"   
"sh688550","688550","瑞联新材","20250324" 
"sh688551","688551","科威尔","20250324"   
"sh688552","688552","航天南湖","20250324" 
"sh688553","688553","汇宇制药","20250324" 
"sh688556","688556","高测股份","20250324" 
"sh688557","688557","兰剑智能","20250324" 
"sh688558","688558","国盛智科","20250324" 
"sh688559","688559","海目星","20250324"   
"sh688560","688560","明冠新材","20250324" 
"sh688561","688561","奇安信","20250324"   
"sh688562","688562","航天软件","20250324" 
"sh688563","688563","航材股份","20250324" 
"sh688565","688565","力源科技","20250324" 
"sh688566","688566","吉贝尔","20250324"   
"sh688567","688567","孚能科技","20250324" 
"sh688568","688568","中科星图","20250324" 
"sh688569","688569","铁科轨道","20250324" 
"sh688570","688570","天玛智控","20250324" 
"sh688571","688571","杭华股份","20250324" 
"sh688573","688573","信宇人","20250324"   
"sh688575","688575","亚辉龙","20250324"   
"sh688576","688576","西山科技","20250324" 
"sh688577","688577","浙海德曼","20250324" 
"sh688578","688578","艾力斯","20250324"   
"sh688579","688579","山大地纬","20250324" 
"sh688580","688580","伟思医疗","20250324" 
"sh688581","688581","安杰思","20250324"   
"sh688582","688582","芯动联科","20250324" 
"sh688583","688583","思看科技","20250324" 
"sh688584","688584","上海合晶","20250324" 
"sh688585","688585","上纬新材","20250324" 
"sh688586","688586","江航装备","20250324" 
"sh688588","688588","凌志软件","20250324" 
"sh688589","688589","力合微","20250324"   
"sh688590","688590","新致软件","20250324" 
"sh688591","688591","泰凌微","20250324"   
"sh688592","688592","司南导航","20250324" 
"sh688593","688593","新相微","20250324"   
"sh688595","688595","芯海科技","20250324" 
"sh688596","688596","正帆科技","20250324" 
"sh688597","688597","煜邦电力","20250324" 
"sh688598","688598","金博股份","20250324" 
"sh688599","688599","天合光能","20250324" 
"sh688600","688600","皖仪科技","20250324" 
"sh688601","688601","力芯微","20250324"   
"sh688602","688602","康鹏科技","20250324" 
"sh688603","688603","天承科技","20250324" 
"sh688605","688605","先锋精科","20250324" 
"sh688606","688606","奥泰生物","20250324" 
"sh688607","688607","康众医疗","20250324" 
"sh688608","688608","恒玄科技","20250324" 
"sh688609","688609","九联科技","20250324" 
"sh688610","688610","埃科光电","20250324" 
"sh688611","688611","杭州柯林","20250324" 
